"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"EXTRACTED/654/0";"License info could not be verified.";"授权信息无法验证。";"";""
"EXTRACTED/655/0";"License check exception.";"授权检查异常。";"";""
"EXTRACTED/656/0";"This user cannot be assigned the same product again.";"不能再为该用户分配相同的产品。";"";""
"EXTRACTED/657/0";"The number of users exceeds the number of assigned authorizations.";"用户数量超过了分配的授权数量。";"";""
"EXTRACTED/658/0";"If you continue to update, to revoke the activated users first. You no longer purchase these current:";"如果继续更新，则必须先撤销已激活的用户。您确认不再购买当前这些：";"";""
"EXTRACTED/659/0";"Your license key file has expired. Please contact Foxit to update it.";"您的授权密钥文件已过期。请联系福昕进行更新。";"";""
"EXTRACTED/660/0";"After moving the user, you need to reassign their authorization.";"在迁移用户后，您需要重新分配他们的授权。";"";""
"EXTRACTED/661/0";"Please make sure the product has not already been assigned.";"请确认产品没有被分配。";"";""
"EXTRACTED/662/0";"This organization has no licenses.";"该组织没有授权。";"";""
"EXTRACTED/663/0";"This sub-organization does not have enough licenses.";"这个子组织没有足够的授权。";"";""
"EXTRACTED/664/0";"You have no envelopes remaining. Please purchase envelopes.";"您没有剩余的信封了。请购买信封。";"";""
"EXTRACTED/665/0";"Could not get a token from Foxit eSign.";"无法从福昕电子签章服务获取令牌。";"";""
"EXTRACTED/666/0";"Foxit eSign user not found.";"未找到福昕电子签章用户。";"";""
"EXTRACTED/667/0";"Foxit eSign organization not found.";"未找到福昕电子签章组织。";"";""
"EXTRACTED/668/0";"Could not add envelopes to Foxit eSign user.";"无法为福昕电子签章用户添加信封。";"";""
"EXTRACTED/669/0";"Could not add envelopes to Foxit eSign organization.";"无法为福昕电子签章组织添加信封。";"";""
"EXTRACTED/670/0";"Could not delete Foxit eSign user.";"无法删除福昕电子签章用户。";"";""
"EXTRACTED/671/0";"Could not create Foxit eSign user.";"无法创建福昕电子签章用户。";"";""
"EXTRACTED/672/0";"Failed to create organization of AssureSign.";"无法创建保证签名的组织。";"";""
"EXTRACTED/673/0";"Not enough licenses available. Please remove some existing licenses or purchase additional licenses.";"没有足够的授权。请删除一些现有的授权或购买额外的授权。";"";""
"EXTRACTED/674/0";"Could not authorize this account to use Foxit eSign.";"无法授权此账户使用福昕电子签章。";"";""
"EXTRACTED/675/0";"This account is already part of another organization.";"该账户已经是其他组织的成员了。";"";""
"EXTRACTED/676/0";"CSV file format incorrect.";"CSV文件格式不正确。";"";""
"EXTRACTED/677/0";"This department cannot be deleted because it contains administrator accounts. Please delete or move these accounts first.";"该部门包含管理员账户，无法删除。请先删除或者移动这些账户。";"";""
"EXTRACTED/678/0";"Configuration error, please check.";"配置失败，请重新检查。";"";""
"EXTRACTED/679/0";"If you continue to update, to remove or edit product administrator first. You no longer purchase these current:";"如果继续更新，则必须先移除或者编辑产品的管理员。您确认不再购买当前这些：";"";""
"EXTRACTED/680/0";"There is an administrator in the organization, please delete the administrator first.";"组织中有管理员，请先删除该管理员。";"";""
"EXTRACTED/681/0";"The account has been disabled.";"该账户已禁用。";"";""
"EXTRACTED/682/0";"Failure";"失败";"";""
"EXTRACTED/683/0";"You cannot invite the admin user.";"您不能邀请管理员。";"";""
"EXTRACTED/684/0";"You are acting too quickly, please wait a few seconds and try again.";"您的动作太快了，请等待几秒后重试。";"";""
"EXTRACTED/685/0";"This user needs to be enabled before you can authorize them.";"该用户需要先进行启用，然后才能为其授权。";"";""
"EXTRACTED/686/0";"The offline time should be within the validity period of the Admin Console.";"离线时间应在管理控制台的有效期内。";"";""
"EXTRACTED/687/0";"You cannot remove the Super Administrator's license.";"您无法移除超级管理员账户。";"";""
"EXTRACTED/688/0";"Update key file error, please try again.";"授权文件更新失败，请重试。";"";""
"EXTRACTED/689/0";"The number of authorizations you updated is less than the number of authorizations assigned to product administrator, so the system removes the excess product administrator, and you can reassign.";"您更新的授权数量少于分配给产品管理员的授权数量，因此系统会删除多余的产品管理员，您可以重新分配。";"";""
"EXTRACTED/690/0";"The task is processing now.";"该任务现在正在处理中。";"";""
"EXTRACTED/691/0";"The user in the third-party account system, cannot transfer the super administrator.";"第三方账号系统中的用户，无法转入超级管理员。";"";""
"EXTRACTED/692/0";"This license of argument don't exist Foxit PDF Editor Pro Windows and Foxit PDF Editor Windows";"此参数授权不存在福昕高级PDF编辑器专业版-Windows版和福昕高级PDF编辑器标准版-Windows版";"";""
"EXTRACTED/693/0";"This organization already exists.";"该组织已经存在了。";"";""
"EXTRACTED/694/0";"The product already has a product administrator, and it does not support multiple product administrators for the same product to manage the same personnel.";"此产品已有产品管理员，不支持同一产品的多个产品管理员是来自同一组。";"";""
"EXTRACTED/695/0";"""Group Members Attribute"" and ""User Membership Attribute"" must be empty or non-empty at the same time.";"“组成员属性”和“用户成员资格属性”必须同时为空或非空。";"";""
"EXTRACTED/696/0";"No permission to enable the licenses recycling function.";"无权限开启授权回收功能。";"";""
"EXTRACTED/697/0";"No permission to enable the automatically authorize.";"无权限开启自动授权。";"";""
"EXTRACTED/698/0";"User does not exist, please complete user information in CSV file.";"用户不存在，请在CSV文件中填写用户信息。";"";""
"EXTRACTED/699/0";"Country/Region of the enterprise do not match with the user.";"企业所在的国家/地区与用户不匹配。";"";""
"EXTRACTED/700/0";"You have not purchased this product license.";"您尚未购买此产品的授权。";"";""
"EXTRACTED/701/0";"Licenses of {Product} are not enough, please redistribute.";"{Product}的授权不足，请重新分发。";"";""
"EXTRACTED/702/0";"The value of quota must exceed License Users in {Product}.";"配额值必须超过{Product}中的授权用户。";"";""
"EXTRACTED/703/0";"Please confirm whether to change the organizational structure? If you change the organizational structure, the quota values of {OU1} and {OU2} will be cleared.";"请确认是否更改组织架构？如果更改组织结构，{OU1}和{OU2}的配额值将被清除。";"";""
"EXTRACTED/704/0";"Please confirm whether to change the organizational structure? If you change the organizational structure, the quota values of {OU1} will be cleared.";"请确认是否更改组织架构？如果更改组织结构，{OU1}的配额值将被清除。";"";""
"EXTRACTED/705/0";"You do not have permission for this.";"您对此没有权限。";"";""
"EXTRACTED/706/0";"Not enough licenses available. Please remove some existing licenses, reset license quota or purchase additional licenses.";"没有足够的授权。请删除一些现有的授权、重置授权配额或购买额外的授权。";"";""
"EXTRACTED/707/0";"The user's region is different from that of the enterprise and cannot be transferred.";"用户所在地区与企业所在地区不同，不能转移。";"";""
"EXTRACTED/708/0";"No admin console subscription information.";"没有管理控制台授权信息。";"";""
"EXTRACTED/709/0";"The email to be transferred is a third-party account, please confirm whether it has the password of Foxit system. If not, please use the ""Forgot Password"" function to set Foxit password.";"需要转移的邮件是第三方账号，请确认其是否有福昕系统的密码。如果没有，请使用“忘记密码”功能设置福昕密码。";"";""
"EXTRACTED/710/0";"Email subject must not exceed 255 characters.";"电子邮件主题不得超过255个字符。";"";""
"EXTRACTED/711/0";"Your organization(s) has not set a country or region. Please call Foxit Technical Support at +1-866-MYFOXIT or +1-866-693-6948 (24/7 service) to set it.";"您的组织尚未设置国家或地区。请致电0591-38509808联系福昕技术支持进行设置。";"";""
"EXTRACTED/712/0";"The user's region is different from that of the enterprise and cannot be added as an administrator.";"用户所在地区与企业所在地区不同，不能添加其为管理员。";"";""
"EXTRACTED/713/0";"Synchronizing..., could not cancel the current operation.";"正在同步...，不能取消当前操作。";"";""
"EXTRACTED/714/0";"Removing..., could not cancel the current operation.";"正在移除...，不能取消当前操作。";"";""
"EXTRACTED/715/0";"Can not delete this directory. To delete this directory, please transfer admin privileges in Privacy and Security.";"无法删除此目录。要删除此目录，请在“隐私和安全”中转移管理员权限。";"";""
"EXTRACTED/716/0";"Can not delete the Single-Sign-On (SAML 2.0) configuration. To delete the configuration, please transfer admin privileges in Privacy and Security.";"不能删除单点登录(SAML 2.0)配置。要删除配置，请在“隐私和安全”中转移管理员权限。";"";""
"EXTRACTED/717/0";"SAML synchronize cancel failed.";"SAML同步取消失败。";"";""
"EXTRACTED/718/0";"Please add no more than 200 users.";"请添加不超过200个的用户。";"";""
"EXTRACTED/719/0";"Insufficient number of specified license. Please select other available license, remove some existing licenses, reset license quota or purchase additional licenses.";"指定授权的数量不足。请选择其他可用授权、删除一些现有授权、重置授权配额或购买额外授权。";"";""
"EXTRACTED/720/0";"Unknown error. Please try again.";"未知错误。请重试。";"";""
"EXTRACTED/721/0";"Could not authorize this account to use Foxit eSign China External. Please try again later.";"无法授权此账户使用福昕电子签章对外签署服务，请稍后重试。";"";""
"EXTRACTED/722/0";"Super administrator is assigned the licenses of Foxit eSign related products by default and cannot be removed.";"超级管理员默认被分配福昕电子签名相关产品的授权不可删除。";"";""
"EXTRACTED/723/0";"Activations more than allowed devices.";"激活数目多于允许设备数。";"";""
"EXTRACTED/724/0";"No Domains.";"没有域。";"";""
"EXTRACTED/725/0";"You can refer to the configuration instruction in the provision settings to resolve the problem.";"您可以参考预配设置中的说明来解决问题。";"";""
"EXTRACTED/726/0";"Directory name is exist.";"目录名称已存在。";"";""
"EXTRACTED/727/0";"No valid domain is available. Please add and verify domain first.";"没有可用的有效域。 请先添加并验证域。";"";""
"EXTRACTED/728/0";"DNS changes can take up to 72 hours to update depending on your DNS host. Please try again later.";"根据您的DNS主机，DNS更改可能需要72个小时才能更新。请稍后再试。";"";""
"EXTRACTED/729/0";"No users found.";"未找到相应的用户。";"";""
"EXTRACTED/730/0";"This user is already in the Admin Console.";"该用户已经在管理控制台中。";"";""
"EXTRACTED/731/0";"The mailbox does not exist.";"邮箱不存在。";"";""
"EXTRACTED/732/0";"The mailbox is undeliverable.";"邮箱无法投递。";"";""
"EXTRACTED/733/0";"This Domain is being used, please try again later.";"此域正在使用中，请稍后重试。";"";""
"EXTRACTED/734/0";"Failure to transfer ownership because of the eSign subscription conflict. Please remove the user's eSign subscription before transferring admin privileges.";"由于电子签章订阅冲突，无法转移所有权。请在转移管理员权限之前删除用户的电子签章订阅。";"";""
"EXTRACTED/735/0";"The directory configuration is incomplete. Please complete the SAML configuration in Directory Settings before adding a Domain.";"目录配置不完整。 请在添加域之前完成目录设置中的SAML配置。";"";""
"EXTRACTED/736/0";"{userNum} user(s) applied to join your organization";"{userNum} 位用户申请加入您的组织";"";""
"EXTRACTED/737/0";"request(s) to join your organization and gain access to {product}. You can click Approve Now to approve immediately.";"请求加入您的组织并获得对{product}的访问权限。您可以点击“立即批准”立即批准.";"";""
"EXTRACTED/738/0";"Data acquisition failed. Please choose a correct date range.";"数据获取失败。请选择正确的日期范围。";"";""
"EXTRACTED/739/0";"The automatic deactivation time must be greater than or equal to the offline activation time.";"自动取消授权的时间必须大于或者等于离线激活时间";"";""
"EXTRACTED/740/0";"This user has been restricted by the administrator from accessing the product.";"该用户被管理员限制访问产品。";"";""
"EXTRACTED/741/0";"Application record not found.";"未找到应用记录。";"";""
"EXTRACTED/742/0";"The status does not support this operation.";"该状态下不支持此操作。";"";""
"EXTRACTED/743/0";"The message has been read.";"该消息已被阅读。";"";""
"EXTRACTED/744/0";"The user has joined the enterprise.";"该用户已加入企业。";"";""
"EXTRACTED/745/0";"Failed to add user in enterprise.";"无法在企业中添加用户。";"";""
"EXTRACTED/746/0";"Reject to assign license to the user.";"拒绝分配权限给该用户。";"";""
"EXTRACTED/747/0";"The record has been deleted.";"该记录已删除。";"";""
"EXTRACTED/748/0";"The request has been processed.";"该请求已处理。";"";""
"EXTRACTED/749/0";"Exporting the report too frequently. Please try again later.";"导出报告过于频繁。请稍后再试。";"";""
"EXTRACTED/750/0";"Special characters are not allowed for security reasons.";"出于安全原因，不允许使用特殊字符。";"";""
"EXTRACTED/751/0";"Failed to Assign Smart Redact license.";"无法分配智能密文授权。";"";""
"EXTRACTED/752/0";"This user cannot be assigned Smart Redact license again.";"无法再次向该用户分配智能密文授权。";"";""
"EXTRACTED/753/0";"This user cannot be assigned the same product again. If you want to change the plugin license, please modify it on the User Detail page.";"无法再次向该用户分配相同的产品。如果您想更改插件授权，请在用户详细信息页面进行修改。";"";""
"EXTRACTED/754/0";"Failure to transfer ownership. The transferred account has both individual and enterprise online subscriptions.";"无法转让所有权。转移的账户既有个人在线订阅，也有企业在线订阅。";"";""
"EXTRACTED/755/0";"Failure to transfer ownership. Both the super admin and the transferred account have already been registered with Stripe or PayPal.";"无法转让所有权。超级管理员和转移账户均已在Stripe或PayPal注册。";"";""
"EXTRACTED/756/0";"eSign-related products cannot be licensed to you.";"电子签名相关产品无法授权给您。";"";""
"EXTRACTED/757/0";"Setup Admins cannot assign the licenses to themselves. Please contact the Super Admin for the licenses.";"设置管理员无法将授权分配给自己。请联系超级管理员获取授权。";"";""
"EXTRACTED/758/0";"The user already exists in the current or other departments.";"用户已存在于当前或其他部门中。";"";""
"EXTRACTED/759/0";"User license removed due to insufficient quota.";"由于配额不足，用户授权已被移除。";"";""
"EXTRACTED/760/0";"It is not possible to move this organization as it is associated with the organization of Foxit eSign. If you need to move it, please delete the current organization and create a new one.";"这个组织无法移动，因为它与福昕电子签章的组织相关联。如果您需要移动它，请删除当前的组织并创建一个新的组织。";"";""
"EXTRACTED/761/0";"Deletion failed as the administrator is assigned to manage an eSign sub-organization.";"删除失败，因为管理员被指派管理一个电子签章子组织。";"";""
"EXTRACTED/762/0";"Successfully synchronized Foxit eSign users";"成功同步了福昕电子签章用户";"";""
"EXTRACTED/763/0";"You have successfully synchronized the organization and user information with Foxit eSign.";"您已成功将组织和用户信息与福昕电子签章同步。";"";""
"EXTRACTED/764/0";"Failed to synchronize Foxit eSign users";"同步福昕电子签章用户失败";"";""
"EXTRACTED/765/0";"We're sorry, the synchronization of organization and user information with Foxit eSign has failed. You can try to sync again.";"对不起，与福昕电子签章的组织和用户信息同步失败。您可以尝试再次同步。";"";""
"EXTRACTED/766/0";"The system failed to upgrade. Please try again later.";"系统升级失败。请稍后重试。";"";""
"EXTRACTED/767/0";"The user is an enterprise administrator from a different data storage center and cannot be invited.";"该用户是来自不同数据存储中心的企业管理员，无法被邀请。";"";""
"EXTRACTED/768/0";"Directory user cannot be invited.";"目录用户无法被邀请。";"";""
"EXTRACTED/769/0";"The user's region information has already been modified, so it cannot be restored. It will be necessary to send a new invitation to the user if you wish to restore them to the enterprise";"用户的区域信息已经被修改，因此无法恢复。如果您希望将其恢复到企业中，需要向用户发送新的邀请。";"";""
"EXTRACTED/770/0";"Your request has been sent.";"您的请求已发送。";"";""
"EXTRACTED/771/0";"{organization} requests access to your domain or directory";"{organization} 请求访问您的域或目录";"";""
"EXTRACTED/772/0";"Enterprise {organization} is requesting access to your verified domain {domain}. Please note that if the domain has linked to a directory,  the trustee will be able to access all domains within the directory. The information for the trustee is as follows:<br/> Name: {userName}<br/> Email: {email}<br/> Enterprise Name: {organization}<br/> Technical contact: {technicalContact}<br/> Data center: {region}";"企业 {organization} 请求访问您验证的域 {domain}。请注意，如果该域已链接到目录，受托人将能够访问目录中的所有域。受托人的信息如下:<br/> 姓名: {userName}<br/> 电子邮件: {email}<br/> 企业名称: {organization}<br/> 技术联系人: {technicalContact}<br/> 数据中心: {region}";"";""
"EXTRACTED/773/0";"Domain {domain1} and Domain {domain2} have been shared with different enterprises and cannot be added to the same directory.";"域{domain1}和域{domain2}已经与不同企业共享，不能添加到同一目录中。";"";""
"EXTRACTED/774/0";"The user already has a created enterprise and cannot switch regions.";"用户已经创建了一个企业，无法切换区域。";"";""
"EXTRACTED/775/0";"The enterprise super administrator cannot modify the region.";"企业超级管理员无法修改区域。";"";""
"EXTRACTED/776/0";"There is no enterprise sharing this domain in this data center {region}.";"在这个数据中心中，没有企业共享这个域 {region}。";"";""
"EXTRACTED/777/0";"Access to this domain is prohibited by the owner.";"访问此域名已被所有者禁止。";"";""
"EXTRACTED/778/0";"Your request has been processed. Please refresh the page.";"您的请求已处理完毕。请刷新页面。";"";""
"EXTRACTED/779/0";"Email cannot be empty.";"邮箱不能为空。";"";""
"EXTRACTED/780/0";"The email format is incorrect.";"邮箱格式不正确。";"";""
"EXTRACTED/781/0";"The license name is incorrect.";"授权名称不正确。";"";""
"EXTRACTED/782/0";"License cannot be empty.";"授权不能为空。";"";""
"EXTRACTED/783/0";"This product were not found.";"未找到此产品。";"";""
"EXTRACTED/784/0";"There's a task in progress.";"有一个任务正在进行中。";"";""
"EXTRACTED/785/0";"There's a task in progress initiated by another admin. Please try again later.";"另一位管理员发起的任务正在进行中。请稍后重试。";"";""
"EXTRACTED/786/0";"This user is not allowed to be invited into the Admin Console.";"该用户不允许被邀请进入管理控制台。";"";""
"EXTRACTED/787/0";"Data center cannot be empty.";"数据中心不能为空。";"";""
"EXTRACTED/788/0";"The user already exists in the data center.";"用户已经存在于数据中心。";"";""
"EXTRACTED/789/0";"The request does not exist.";"请求不存在。";"";""
"EXTRACTED/790/0";"{email} canceled the access request to your domain or directory.";"{email}取消了对您域或目录的访问请求。";"";""
"EXTRACTED/791/0";"{email} canceled the access request to the domain {domain}.";"{email}取消了对域{domain}的访问请求。";"";""
"EXTRACTED/792/0";"Processing";"处理中";"";""
"EXTRACTED/793/0";"Please get the Order ID first.";"请先获取订单号。";"";""
"EXTRACTED/794/0";"The phone number must be numeric.";"电话号码必须是数字。";"";""
"EXTRACTED/795/0";"An unavailable domain is present.";"存在一个不可用的域名。";"";""
"EXTRACTED/796/0";"Updating in progress, please do not click repeatedly.";"更新中，请勿重复点击。";"";""
"EXTRACTED/797/0";"The user {email} does not exist in the group.";"用户{email}不存在于该组中。";"";""
"EXTRACTED/798/0";"Check url format failed.";"检查url格式失败。";"";""
"EXTRACTED/799/0";"Check url response failed.";"检查url响应失败。";"";""
"EXTRACTED/800/0";"{emails} failed to restore.";"{emails} 未能恢复。";"";""
"EXTRACTED/801/0";"This user is a super administrator of another enterprise and cannot transfer permissions.";"这个用户是另一个企业的超级管理员，无法转移权限。";"";""
"EXTRACTED/802/0";"Authorization failed. The user's region does not match the enterprise.";"授权失败。 用户的地区与企业不匹配。";"";""
"EXTRACTED/803/0";"The user has been removed by the identity provider.";"用户已被身份提供者移除。";"";""
"EXTRACTED/804/0";"Admin Console subscriptions across different regions do not support transfer.";"不同区域的管理控制台订阅不支持转移。";"";""
"EXTRACTED/805/0";"Accounts with active subscriptions cannot be deleted.";"拥有有效订阅的账户无法被删除。";"";""
"EXTRACTED/806/0";"Enterprise super administrator cannot be deleted.";"企业超级管理员不能被删除。";"";""
"EXTRACTED/807/0";"Enterprise administrator cannot be deleted.";"企业管理员无法被删除。";"";""
"EXTRACTED/808/0";"Resellers of Foxit partners cannot delete their accounts.";"福昕合作伙伴的经销商无法删除他们的账户。";"";""
"EXTRACTED/809/0";"Administrator in Foxit partner Order System cannot be deleted.";"在福昕合作伙伴订单系统中，管理员无法被删除。";"";""
"EXTRACTED/810/0";"Image file format incorrect.";"图像文件格式不正确。";"";""
"EXTRACTED/811/0";"Oops! Image too large. Max size allowed: {number} MB.";"哎呀！图像太大了。允许的最大尺寸为: {number} MB。";"";""
"EXTRACTED/812/0";"An administrator role has already been assigned to this organization. Please delete the original configuration and re-add it.";"该组织已分配了管理员角色。请删除原始配置后重新添加。";"";""
"EXTRACTED/813/0";"The user's region does not match the enterprise.";"用户的地区与企业不匹配。";"";""
"EXTRACTED/814/0";"Insufficient licenses available. Please try the following: 1) Select a different license; 2) Remove existing assignments; 3) Adjust the license quota; 4) Purchase additional licenses; 5) Sign in to eSign and verify if any licenses are in use but not yet synced to the Admin Console.";"可用许可证不足。请尝试以下操作: 1) 选择不同的许可证；2) 移除现有分配；3) 调整许可证配额；4) 购买额外许可证；5) 登录eSign并核实是否有许可证正在使用但尚未同步到管理控制台。";"";""
"EXTRACTED/815/0";"This account does not support transfer.";"此账户不支持转移。";"";""
"EXTRACTED/816/0";"The user is an enterprise administrator from a different data storage center, so the region cannot be modified.";"用户是来自不同数据存储中心的企业管理员，因此区域无法修改。";"";""
"EXTRACTED/817/0";"User Name";"用户名";"";""
"EXTRACTED/818/0";"Assigned Time";"分配时间";"";""
"EXTRACTED/819/0";"Activation Status";"激活状态";"";""
"EXTRACTED/820/0";"Group Name";"组名";"";""
"EXTRACTED/821/0";"Activation Time";"激活时间";"";""
"EXTRACTED/822/0";"Last Connection Time";"最后一次连接时间";"";""
"EXTRACTED/823/0";"IP Address";"IP地址";"";""
"EXTRACTED/824/0";"PC Name";"PC名称";"";""
"EXTRACTED/825/0";"MAC Address";"MAC地址";"";""
"EXTRACTED/826/0";"License";"授权";"";""
"EXTRACTED/827/0";"date";"日期";"";""
"EXTRACTED/828/0";"Number of total licenses";"总授权数量";"";""
"EXTRACTED/829/0";"Number of assigned licenses";"分配授权数量";"";""
"EXTRACTED/830/0";"Excess";"超额";"";""
"EXTRACTED/831/0";"Licenses";"授权";"";""
"EXTRACTED/832/0";"Login Time";"登录时间";"";""
"EXTRACTED/833/0";"Status";"状态";"";""
"EXTRACTED/834/0";"Multi-language version";"多语言版本";"";""
"EXTRACTED/835/0";"Multi-language version, including Brazilian Portuguese, Danish, Dutch, English, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Russian, Spanish, Swedish, Simplified Chinese, and Traditional Chinese. Larger size than English version.";"多语言版本，包括巴西葡萄牙语，丹麦语，荷兰语，英语，芬兰语，法语，德语，意大利语，日语，韩语，挪威语，波兰语，俄语，西班牙语，瑞典语，简体中文和繁体中文。体积比英文版本大。";"";""
"EXTRACTED/836/0";"Japanese version";"日文版本";"";""
"EXTRACTED/837/0";"Can support Japanese and English.";"支持日语和英语。";"";""
"EXTRACTED/838/0";"Simplified Chinese version";"简体中文版本";"";""
"EXTRACTED/839/0";"Can support Simplified Chinese and English.";"可以支持简体中文和英语。";"";""
"EXTRACTED/840/0";"English version";"英文版本";"";""
"EXTRACTED/841/0";"Can only support English. Smaller size than multi-language version.";"仅支持英语。体积比多语言版本小。";"";""
"EXTRACTED/842/0";"Korean version";"韩文版本";"";""
"EXTRACTED/843/0";"Can support Korean and English.";"可以支持韩语和英语。";"";""
"EXTRACTED/844/0";"Invited";"已受邀";"";""
"EXTRACTED/845/0";"Accept Invitation";"接受邀请";"";""
"EXTRACTED/846/0";"Deactivated";"未激活";"";""
"EXTRACTED/847/0";"Available access";"有效访问";"";""
"EXTRACTED/848/0";"Revoked";"已吊销";"";""
"EXTRACTED/849/0";"Deleted";"已删除";"";""
"EXTRACTED/850/0";"Foxit PDF Editor CN";"福昕高级PDF编辑器";"";""
"EXTRACTED/851/0";"subscription";"订阅";"";""
"EXTRACTED/852/0";"perpetual";"永久授权";"";""
"EXTRACTED/853/0";"User License";"用户授权";"";""
"EXTRACTED/854/0";"Date";"日期";"";""
"EXTRACTED/855/0";"User";"用户";"";""
"EXTRACTED/856/0";"Event Type";"事件类型";"";""
"EXTRACTED/857/0";"Source";"来源";"";""
"EXTRACTED/858/0";"Action";"操作";"";""
"EXTRACTED/859/0";"Reports";"报告";"";""
"EXTRACTED/860/0";"Operator";"操作员";"";""
"EXTRACTED/861/0";"Time";"时间";"";""
"EXTRACTED/862/0";"Number of active users";"活跃用户数量";"";""
"EXTRACTED/863/0";"Number of activated licenses";"激活的授权数量";"";""
"EXTRACTED/864/0";"PhantomPDF License";"福昕高级PDF编辑器授权";"";""
"EXTRACTED/865/0";"GroupUserData";"组用户数据";"";""
"EXTRACTED/866/0";"UserData";"用户数据";"";""
"EXTRACTED/867/0";"Admin Operation Logs";"管理员操作日志";"";""
"EXTRACTED/868/0";"Internal Update Operation Logs";"内部更新操作日志";"";""
"EXTRACTED/869/0";"Login Logs";"登录日志";"";""
"EXTRACTED/870/0";"Password cannot be less than {number} characters";"密码不能少于{number}个字符";"";""
"EXTRACTED/871/0";"Activated";"已激活";"";""
"EXTRACTED/872/0";"Count";"计数";"";""
"EXTRACTED/873/0";"Product";"产品";"";""
"EXTRACTED/874/0";"Rollback Data";"回滚数据";"";""
"EXTRACTED/875/0";"IP";"IP";"";""
"EXTRACTED/876/0";"Rolled back Version";"回滚版本";"";""
"EXTRACTED/877/0";"Number of allowed devices";"允许的设备数量";"";""
"EXTRACTED/878/0";"Foxit PDF Editor Pro Windows";"福昕高级PDF编辑器专业版-Windows版";"";""
"EXTRACTED/879/0";"Foxit eSign";"福昕电子签章";"";""
"EXTRACTED/880/0";"Log Type";"日志类型";"";""
"EXTRACTED/881/0";"Suborganization";"子组织";"";""
"EXTRACTED/882/0";"Company/Department";"公司/部门";"";""
"EXTRACTED/883/0";"Envelope Used";"已用信封";"";""
"EXTRACTED/884/0";"Remark Name";"备注名称";"";""
"EXTRACTED/885/0";"System Administrator";"系统管理员";"";""
"EXTRACTED/886/0";"Product Administrator";"产品管理员";"";""
"EXTRACTED/887/0";"User&Group Administrator";"用户&组管理员";"";""
"EXTRACTED/888/0";"Deployment Administrator";"部署管理员";"";""
"EXTRACTED/889/0";"Configuration Administrator";"配置管理员";"";""
"EXTRACTED/890/0";"The number of licenses has been updated and is less than the number of licenses assigned to the product administrator, so the system removes the excess product administrators, and you can reassign";"授权数量已更新，且少于分配给产品管理员的授权数量，因此系统会删除多余的产品管理员，您可以重新分配。";"";""
"EXTRACTED/891/0";"Size parameter is not complete.";"大小参数不完整。";"";""
"EXTRACTED/892/0";"The size is in the wrong format.";"大小格式错误。";"";""
"EXTRACTED/893/0";"MinSize cannot be greater than maxSize.";"最小尺寸不能大于最大尺寸";"";""
"EXTRACTED/894/0";"Time parameter is not complete.";"时间参数不完整。";"";""
"EXTRACTED/895/0";"StartTime cannot be greater than endTime.";"开始时间不能大于结束时间";"";""
"EXTRACTED/896/0";"{PRODUCT_NAME} does not have enough available licenses. Please remove some existing licenses or purchase additional licenses.";"{PRODUCT_NAME} 没有足够的授权。请移除一些已存在的授权或者购买额外的授权。";"";""
"EXTRACTED/897/0";"No permission to assign the license to users of {OU_NAME}";"无权将授权分配给 {OU_NAME} 的用户";"";""
"EXTRACTED/898/0";"You cannot assign license to this user.";"您不能分配授权给此用户。";"";""
"EXTRACTED/899/0";"Number of activated devices";"激活的设备数量";"";""
"EXTRACTED/900/0";"Active";"活跃";"";""
"EXTRACTED/901/0";"Update";"更新";"";""
"EXTRACTED/902/0";"Department Information";"部门信息";"";""
"EXTRACTED/903/0";"Object Name";"对象名称";"";""
"EXTRACTED/904/0";"Affected User";"受影响的用户";"";""
"EXTRACTED/905/0";"Enabled";"启用";"";""
"EXTRACTED/906/0";"Organization";"组织";"";""
"EXTRACTED/907/0";"The number of licenses has been updated and the quota of licenses distributed to the organization has been changed, so the system removes the quota of licenses, and you can reset it in License Management";"授权数量已更新，且分配给组织的授权配额已更改，因此系统会删除授权配额，您可以在“授权管理”中重新设置。";"";""
"EXTRACTED/908/0";"All Users";"全部用户";"";""
"EXTRACTED/909/0";"Authorization failed. Licenses of {ou} are not enough.";"授权失败。{ou}的授权不足。";"";""
"EXTRACTED/910/0";"Invited users";"受邀用户";"";""
"EXTRACTED/911/0";"No permission to assign the license to users of organization {OU_NAME}.";"无权将授权分配给{OU_NAME}组织的用户";"";""
"EXTRACTED/912/0";"Allowed Devices:";"允许的设备：";"";""
"EXTRACTED/913/0";"Client Logs";"客户端日志";"";""
"EXTRACTED/914/0";"Foxit eSign China Internal";"福昕电子签章对内签署服务";"";""
"EXTRACTED/915/0";"Number of Users";"用户数";"";""
"EXTRACTED/916/0";"Synchronization Enabled";"同步已启用";"";""
"EXTRACTED/917/0";"Synchronization Disabled";"同步已禁用";"";""
"EXTRACTED/918/0";"GroupData";"组数据";"";""
"EXTRACTED/919/0";"Foxit PDF Editor Pro +";"Foxit PDF Editor Pro +";"";""
"EXTRACTED/920/0";"Number of activated Windows devices";"已激活的Windows设备数";"";""
"EXTRACTED/921/0";"Number of activated Mac devices";"已激活的Mac设备数";"";""
"EXTRACTED/922/0";"Number of activated Mobile devices";"已激活的移动设备数";"";""
"EXTRACTED/923/0";"Awaiting Acceptance";"等待接受";"";""
